scenario;environment;levy;flood;seed;destination_region;node_type;requested;fulfilled;unmet;fulfillment_rate;occupancy_person_hours
13_levy_on_flood_none;13;True;none;29;Bom Fim;restaurant;81280.0;81280.0;0.0;1.0;81280.0
13_levy_on_flood_none;13;True;none;29;Centro Histórico;marketplace;244552.0;244552.0;0.0;1.0;244552.0
13_levy_on_flood_none;13;True;none;29;Centro Histórico;pharmacy;61128.0;61128.0;0.0;1.0;61128.0
13_levy_on_flood_none;13;True;none;29;Centro Histórico;restaurant;244552.0;244552.0;0.0;1.0;244552.0
13_levy_on_flood_none;13;True;none;29;Cidade Baixa;marketplace;104112.0;104112.0;0.0;1.0;104112.0
13_levy_on_flood_none;13;True;none;29;Cidade Baixa;pharmacy;26024.0;26024.0;0.0;1.0;26024.0
13_levy_on_flood_none;13;True;none;29;Cidade Baixa;restaurant;104112.0;104112.0;0.0;1.0;104112.0
13_levy_on_flood_none;13;True;none;29;Farroupilha;marketplace;6192.0;6192.0;0.0;1.0;6192.0
13_levy_on_flood_none;13;True;none;29;Farroupilha;pharmacy;1552.0;1552.0;0.0;1.0;1552.0
13_levy_on_flood_none;13;True;none;29;Farroupilha;restaurant;6192.0;6192.0;0.0;1.0;6192.0
13_levy_on_flood_none;13;True;none;29;Floresta;marketplace;70384.0;70384.0;0.0;1.0;70384.0
13_levy_on_flood_none;13;True;none;29;Floresta;pharmacy;17576.0;17576.0;0.0;1.0;17576.0
13_levy_on_flood_none;13;True;none;29;Floresta;restaurant;70384.0;70384.0;0.0;1.0;70384.0
13_levy_on_flood_none;13;True;none;29;Independência;marketplace;55080.0;55080.0;0.0;1.0;55080.0
13_levy_on_flood_none;13;True;none;29;Independência;pharmacy;13752.0;13752.0;0.0;1.0;13752.0
13_levy_on_flood_none;13;True;none;29;Independência;restaurant;55080.0;55080.0;0.0;1.0;55080.0
13_levy_on_flood_none;13;True;none;29;Moinhos de Vento;marketplace;79960.0;79960.0;0.0;1.0;79960.0
13_levy_on_flood_none;13;True;none;29;Moinhos de Vento;pharmacy;20000.0;20000.0;0.0;1.0;20000.0
13_levy_on_flood_none;13;True;none;29;Moinhos de Vento;restaurant;79960.0;79960.0;0.0;1.0;79960.0
13_levy_on_flood_none;13;True;none;29;Praia de Belas;marketplace;12176.0;12176.0;0.0;1.0;12176.0
13_levy_on_flood_none;13;True;none;29;Praia de Belas;pharmacy;3048.0;3048.0;0.0;1.0;3048.0
13_levy_on_flood_none;13;True;none;29;Praia de Belas;restaurant;12176.0;12176.0;0.0;1.0;12176.0
13_levy_on_flood_none;13;True;none;29;Rio Branco;marketplace;125680.0;125680.0;0.0;1.0;125680.0
13_levy_on_flood_none;13;True;none;29;Rio Branco;pharmacy;31408.0;31408.0;0.0;1.0;31408.0
13_levy_on_flood_none;13;True;none;29;Rio Branco;restaurant;125680.0;125680.0;0.0;1.0;125680.0
13_levy_on_flood_none;13;True;none;29;Santa Cecília;marketplace;37120.0;37120.0;0.0;1.0;37120.0
13_levy_on_flood_none;13;True;none;29;Santa Cecília;pharmacy;9288.0;9288.0;0.0;1.0;9288.0
13_levy_on_flood_none;13;True;none;29;Santa Cecília;restaurant;37120.0;37120.0;0.0;1.0;37120.0
13_levy_on_flood_none;13;True;none;29;Santana;marketplace;142352.0;142352.0;0.0;1.0;142352.0
13_levy_on_flood_none;13;True;none;29;Santana;pharmacy;35576.0;35576.0;0.0;1.0;35576.0
13_levy_on_flood_none;13;True;none;29;Santana;restaurant;142352.0;142352.0;0.0;1.0;142352.0
13_levy_on_flood_pois;13;True;pois;0;Azenha;marketplace;96512.0;93273.0;3239.0;0.9664394064986738;93273.0
13_levy_on_flood_pois;13;True;pois;0;Azenha;pharmacy;24144.0;23834.0;310.0;0.9871603711066932;23834.0
13_levy_on_flood_pois;13;True;pois;0;Azenha;restaurant;96512.0;93839.0;2673.0;0.9723039622015915;93839.0
13_levy_on_flood_pois;13;True;pois;0;Bom Fim;marketplace;81280.0;81280.0;0.0;1.0;81280.0
13_levy_on_flood_pois;13;True;pois;0;Bom Fim;pharmacy;20320.0;20320.0;0.0;1.0;20320.0
13_levy_on_flood_pois;13;True;pois;0;Bom Fim;restaurant;81280.0;81280.0;0.0;1.0;81280.0
13_levy_on_flood_pois;13;True;pois;0;Centro Histórico;marketplace;244552.0;240681.0;3871.0;0.9841710556446073;240681.0
13_levy_on_flood_pois;13;True;pois;0;Centro Histórico;pharmacy;61128.0;60230.0;898.0;0.9853095144614579;60230.0
13_levy_on_flood_pois;13;True;pois;0;Centro Histórico;restaurant;244552.0;240520.0;4032.0;0.983512708953515;240520.0
13_levy_on_flood_pois;13;True;pois;0;Cidade Baixa;marketplace;104112.0;93991.0;10121.0;0.9027873828185031;93991.0
13_levy_on_flood_pois;13;True;pois;0;Cidade Baixa;pharmacy;26024.0;22988.0;3036.0;0.8833384568090993;22988.0
13_levy_on_flood_pois;13;True;pois;0;Cidade Baixa;restaurant;104112.0;95715.0;8397.0;0.9193464730290456;95715.0
13_levy_on_flood_pois;13;True;pois;0;Farroupilha;marketplace;6192.0;6192.0;0.0;1.0;6192.0
13_levy_on_flood_pois;13;True;pois;0;Farroupilha;pharmacy;1552.0;1552.0;0.0;1.0;1552.0
13_levy_on_flood_pois;13;True;pois;0;Farroupilha;restaurant;6192.0;6192.0;0.0;1.0;6192.0
13_levy_on_flood_pois;13;True;pois;0;Floresta;marketplace;70384.0;59040.0;11344.0;0.8388270061377586;59040.0
13_levy_on_flood_pois;13;True;pois;0;Floresta;pharmacy;17576.0;13949.0;3627.0;0.7936390532544378;13949.0
13_levy_on_flood_pois;13;True;pois;0;Floresta;restaurant;70384.0;54802.0;15582.0;0.7786144578313253;54802.0
13_levy_on_flood_pois;13;True;pois;0;Independência;marketplace;55080.0;55080.0;0.0;1.0;55080.0
13_levy_on_flood_pois;13;True;pois;0;Independência;pharmacy;13752.0;13752.0;0.0;1.0;13752.0
13_levy_on_flood_pois;13;True;pois;0;Independência;restaurant;55080.0;55080.0;0.0;1.0;55080.0
13_levy_on_flood_pois;13;True;pois;0;Moinhos de Vento;marketplace;79960.0;79960.0;0.0;1.0;79960.0
13_levy_on_flood_pois;13;True;pois;0;Moinhos de Vento;pharmacy;20000.0;20000.0;0.0;1.0;20000.0
13_levy_on_flood_pois;13;True;pois;0;Moinhos de Vento;restaurant;79960.0;79960.0;0.0;1.0;79960.0
13_levy_on_flood_pois;13;True;pois;0;Praia de Belas;marketplace;12176.0;5069.0;7107.0;0.4163107752956636;5069.0
13_levy_on_flood_pois;13;True;pois;0;Praia de Belas;pharmacy;3048.0;1278.0;1770.0;0.41929133858267714;1278.0
13_levy_on_flood_pois;13;True;pois;0;Praia de Belas;restaurant;12176.0;4738.0;7438.0;0.38912614980289095;4738.0
13_levy_on_flood_pois;13;True;pois;0;Rio Branco;marketplace;125680.0;125680.0;0.0;1.0;125680.0
13_levy_on_flood_pois;13;True;pois;0;Rio Branco;pharmacy;31408.0;31408.0;0.0;1.0;31408.0
13_levy_on_flood_pois;13;True;pois;0;Rio Branco;restaurant;125680.0;125680.0;0.0;1.0;125680.0
13_levy_on_flood_pois;13;True;pois;0;Santa Cecília;marketplace;37120.0;37120.0;0.0;1.0;37120.0
13_levy_on_flood_pois;13;True;pois;0;Santa Cecília;pharmacy;9288.0;9288.0;0.0;1.0;9288.0
13_levy_on_flood_pois;13;True;pois;0;Santa Cecília;restaurant;37120.0;37120.0;0.0;1.0;37120.0
13_levy_on_flood_pois;13;True;pois;0;Santana;marketplace;142352.0;142352.0;0.0;1.0;142352.0
13_levy_on_flood_pois;13;True;pois;0;Santana;pharmacy;35576.0;35576.0;0.0;1.0;35576.0
13_levy_on_flood_pois;13;True;pois;0;Santana;restaurant;142352.0;142352.0;0.0;1.0;142352.0
13_levy_on_flood_pois;13;True;pois;1;Azenha;marketplace;96512.0;93273.0;3239.0;0.9664394064986738;93273.0
13_levy_on_flood_pois;13;True;pois;1;Azenha;pharmacy;24144.0;23834.0;310.0;0.9871603711066932;23834.0
13_levy_on_flood_pois;13;True;pois;1;Azenha;restaurant;96512.0;93839.0;2673.0;0.9723039622015915;93839.0
13_levy_on_flood_pois;13;True;pois;1;Bom Fim;marketplace;81280.0;81280.0;0.0;1.0;81280.0
13_levy_on_flood_pois;13;True;pois;1;Bom Fim;pharmacy;20320.0;20320.0;0.0;1.0;20320.0
13_levy_on_flood_pois;13;True;pois;1;Bom Fim;restaurant;81280.0;81280.0;0.0;1.0;81280.0
13_levy_on_flood_pois;13;True;pois;1;Centro Histórico;marketplace;244552.0;240681.0;3871.0;0.9841710556446073;240681.0
13_levy_on_flood_pois;13;True;pois;1;Centro Histórico;pharmacy;61128.0;60230.0;898.0;0.9853095144614579;60230.0
13_levy_on_flood_pois;13;True;pois;1;Centro Histórico;restaurant;244552.0;240520.0;4032.0;0.983512708953515;240520.0
13_levy_on_flood_pois;13;True;pois;1;Cidade Baixa;marketplace;104112.0;93991.0;10121.0;0.9027873828185031;93991.0
13_levy_on_flood_pois;13;True;pois;1;Cidade Baixa;pharmacy;26024.0;22988.0;3036.0;0.8833384568090993;22988.0
13_levy_on_flood_pois;13;True;pois;1;Cidade Baixa;restaurant;104112.0;95715.0;8397.0;0.9193464730290456;95715.0
13_levy_on_flood_pois;13;True;pois;1;Farroupilha;marketplace;6192.0;6192.0;0.0;1.0;6192.0
13_levy_on_flood_pois;13;True;pois;1;Farroupilha;pharmacy;1552.0;1552.0;0.0;1.0;1552.0
13_levy_on_flood_pois;13;True;pois;1;Farroupilha;restaurant;6192.0;6192.0;0.0;1.0;6192.0
13_levy_on_flood_pois;13;True;pois;1;Floresta;marketplace;70384.0;59040.0;11344.0;0.8388270061377586;59040.0
13_levy_on_flood_pois;13;True;pois;1;Floresta;pharmacy;17576.0;13949.0;3627.0;0.7936390532544378;13949.0
13_levy_on_flood_pois;13;True;pois;1;Floresta;restaurant;70384.0;54802.0;15582.0;0.7786144578313253;54802.0
13_levy_on_flood_pois;13;True;pois;1;Independência;marketplace;55080.0;55080.0;0.0;1.0;55080.0
13_levy_on_flood_pois;13;True;pois;1;Independência;pharmacy;13752.0;13752.0;0.0;1.0;13752.0
13_levy_on_flood_pois;13;True;pois;1;Independência;restaurant;55080.0;55080.0;0.0;1.0;55080.0
13_levy_on_flood_pois;13;True;pois;1;Moinhos de Vento;marketplace;79960.0;79960.0;0.0;1.0;79960.0
13_levy_on_flood_pois;13;True;pois;1;Moinhos de Vento;pharmacy;20000.0;20000.0;0.0;1.0;20000.0
13_levy_on_flood_pois;13;True;pois;1;Moinhos de Vento;restaurant;79960.0;79960.0;0.0;1.0;79960.0
13_levy_on_flood_pois;13;True;pois;1;Praia de Belas;marketplace;12176.0;5069.0;7107.0;0.4163107752956636;5069.0
13_levy_on_flood_pois;13;True;pois;1;Praia de Belas;pharmacy;3048.0;1278.0;1770.0;0.41929133858267714;1278.0
13_levy_on_flood_pois;13;True;pois;1;Praia de Belas;restaurant;12176.0;4738.0;7438.0;0.38912614980289095;4738.0
13_levy_on_flood_pois;13;True;pois;1;Rio Branco;marketplace;125680.0;125680.0;0.0;1.0;125680.0
13_levy_on_flood_pois;13;True;pois;1;Rio Branco;pharmacy;31408.0;31408.0;0.0;1.0;31408.0
13_levy_on_flood_pois;13;True;pois;1;Rio Branco;restaurant;125680.0;125680.0;0.0;1.0;125680.0
13_levy_on_flood_pois;13;True;pois;1;Santa Cecília;marketplace;37120.0;37120.0;0.0;1.0;37120.0
13_levy_on_flood_pois;13;True;pois;1;Santa Cecília;pharmacy;9288.0;9288.0;0.0;1.0;9288.0
13_levy_on_flood_pois;13;True;pois;1;Santa Cecília;restaurant;37120.0;37120.0;0.0;1.0;37120.0
13_levy_on_flood_pois;13;True;pois;1;Santana;marketplace;142352.0;142352.0;0.0;1.0;142352.0
13_levy_on_flood_pois;13;True;pois;1;Santana;pharmacy;35576.0;35576.0;0.0;1.0;35576.0
13_levy_on_flood_pois;13;True;pois;1;Santana;restaurant;142352.0;142352.0;0.0;1.0;142352.0
13_levy_on_flood_pois;13;True;pois;2;Azenha;marketplace;96512.0;93273.0;3239.0;0.9664394064986738;93273.0
13_levy_on_flood_pois;13;True;pois;2;Azenha;pharmacy;24144.0;23834.0;310.0;0.9871603711066932;23834.0
13_levy_on_flood_pois;13;True;pois;2;Azenha;restaurant;96512.0;93839.0;2673.0;0.9723039622015915;93839.0
13_levy_on_flood_pois;13;True;pois;2;Bom Fim;marketplace;81280.0;81280.0;0.0;1.0;81280.0
13_levy_on_flood_pois;13;True;pois;2;Bom Fim;pharmacy;20320.0;20320.0;0.0;1.0;20320.0
13_levy_on_flood_pois;13;True;pois;2;Bom Fim;restaurant;81280.0;81280.0;0.0;1.0;81280.0
13_levy_on_flood_pois;13;True;pois;2;Centro Histórico;marketplace;244552.0;240681.0;3871.0;0.9841710556446073;240681.0
13_levy_on_flood_pois;13;True;pois;2;Centro Histórico;pharmacy;61128.0;60230.0;898.0;0.9853095144614579;60230.0
13_levy_on_flood_pois;13;True;pois;2;Centro Histórico;restaurant;244552.0;240520.0;4032.0;0.983512708953515;240520.0
13_levy_on_flood_pois;13;True;pois;2;Cidade Baixa;marketplace;104112.0;93991.0;10121.0;0.9027873828185031;93991.0
13_levy_on_flood_pois;13;True;pois;2;Cidade Baixa;pharmacy;26024.0;22988.0;3036.0;0.8833384568090993;22988.0
13_levy_on_flood_pois;13;True;pois;2;Cidade Baixa;restaurant;104112.0;95715.0;8397.0;0.9193464730290456;95715.0
13_levy_on_flood_pois;13;True;pois;2;Farroupilha;marketplace;6192.0;6192.0;0.0;1.0;6192.0
13_levy_on_flood_pois;13;True;pois;2;Farroupilha;pharmacy;1552.0;1552.0;0.0;1.0;1552.0
13_levy_on_flood_pois;13;True;pois;2;Farroupilha;restaurant;6192.0;6192.0;0.0;1.0;6192.0
13_levy_on_flood_pois;13;True;pois;2;Floresta;marketplace;70384.0;59040.0;11344.0;0.8388270061377586;59040.0
13_levy_on_flood_pois;13;True;pois;2;Floresta;pharmacy;17576.0;13949.0;3627.0;0.7936390532544378;13949.0
13_levy_on_flood_pois;13;True;pois;2;Floresta;restaurant;70384.0;54802.0;15582.0;0.7786144578313253;54802.0
13_levy_on_flood_pois;13;True;pois;2;Independência;marketplace;55080.0;55080.0;0.0;1.0;55080.0
13_levy_on_flood_pois;13;True;pois;2;Independência;pharmacy;13752.0;13752.0;0.0;1.0;13752.0
13_levy_on_flood_pois;13;True;pois;2;Independência;restaurant;55080.0;55080.0;0.0;1.0;55080.0
13_levy_on_flood_pois;13;True;pois;2;Moinhos de Vento;marketplace;79960.0;79960.0;0.0;1.0;79960.0
13_levy_on_flood_pois;13;True;pois;2;Moinhos de Vento;pharmacy;20000.0;20000.0;0.0;1.0;20000.0
13_levy_on_flood_pois;13;True;pois;2;Moinhos de Vento;restaurant;79960.0;79960.0;0.0;1.0;79960.0
13_levy_on_flood_pois;13;True;pois;2;Praia de Belas;marketplace;12176.0;5069.0;7107.0;0.4163107752956636;5069.0
13_levy_on_flood_pois;13;True;pois;2;Praia de Belas;pharmacy;3048.0;1278.0;1770.0;0.41929133858267714;1278.0
13_levy_on_flood_pois;13;True;pois;2;Praia de Belas;restaurant;12176.0;4738.0;7438.0;0.38912614980289095;4738.0
13_levy_on_flood_pois;13;True;pois;2;Rio Branco;marketplace;125680.0;125680.0;0.0;1.0;125680.0
13_levy_on_flood_pois;13;True;pois;2;Rio Branco;pharmacy;31408.0;31408.0;0.0;1.0;31408.0
13_levy_on_flood_pois;13;True;pois;2;Rio Branco;restaurant;125680.0;125680.0;0.0;1.0;125680.0
13_levy_on_flood_pois;13;True;pois;2;Santa Cecília;marketplace;37120.0;37120.0;0.0;1.0;37120.0
13_levy_on_flood_pois;13;True;pois;2;Santa Cecília;pharmacy;9288.0;9288.0;0.0;1.0;9288.0
13_levy_on_flood_pois;13;True;pois;2;Santa Cecília;restaurant;37120.0;37120.0;0.0;1.0;37120.0
13_levy_on_flood_pois;13;True;pois;2;Santana;marketplace;142352.0;142352.0;0.0;1.0;142352.0
13_levy_on_flood_pois;13;True;pois;2;Santana;pharmacy;35576.0;35576.0;0.0;1.0;35576.0
13_levy_on_flood_pois;13;True;pois;2;Santana;restaurant;142352.0;142352.0;0.0;1.0;142352.0
13_levy_on_flood_pois;13;True;pois;3;Azenha;marketplace;96512.0;93273.0;3239.0;0.9664394064986738;93273.0
13_levy_on_flood_pois;13;True;pois;3;Azenha;pharmacy;24144.0;23834.0;310.0;0.9871603711066932;23834.0
13_levy_on_flood_pois;13;True;pois;3;Azenha;restaurant;96512.0;93839.0;2673.0;0.9723039622015915;93839.0
13_levy_on_flood_pois;13;True;pois;3;Bom Fim;marketplace;81280.0;81280.0;0.0;1.0;81280.0
13_levy_on_flood_pois;13;True;pois;3;Bom Fim;pharmacy;20320.0;20320.0;0.0;1.0;20320.0
13_levy_on_flood_pois;13;True;pois;3;Bom Fim;restaurant;81280.0;81280.0;0.0;1.0;81280.0
13_levy_on_flood_pois;13;True;pois;3;Centro Histórico;marketplace;244552.0;240681.0;3871.0;0.9841710556446073;240681.0
13_levy_on_flood_pois;13;True;pois;3;Centro Histórico;pharmacy;61128.0;60230.0;898.0;0.9853095144614579;60230.0
13_levy_on_flood_pois;13;True;pois;3;Centro Histórico;restaurant;244552.0;240520.0;4032.0;0.983512708953515;240520.0
13_levy_on_flood_pois;13;True;pois;3;Cidade Baixa;marketplace;104112.0;93991.0;10121.0;0.9027873828185031;93991.0
13_levy_on_flood_pois;13;True;pois;3;Cidade Baixa;pharmacy;26024.0;22988.0;3036.0;0.8833384568090993;22988.0
13_levy_on_flood_pois;13;True;pois;3;Cidade Baixa;restaurant;104112.0;95715.0;8397.0;0.9193464730290456;95715.0
13_levy_on_flood_pois;13;True;pois;3;Farroupilha;marketplace;6192.0;6192.0;0.0;1.0;6192.0
13_levy_on_flood_pois;13;True;pois;3;Farroupilha;pharmacy;1552.0;1552.0;0.0;1.0;1552.0
13_levy_on_flood_pois;13;True;pois;3;Farroupilha;restaurant;6192.0;6192.0;0.0;1.0;6192.0
13_levy_on_flood_pois;13;True;pois;3;Floresta;marketplace;70384.0;59040.0;11344.0;0.8388270061377586;59040.0
13_levy_on_flood_pois;13;True;pois;3;Floresta;pharmacy;17576.0;13949.0;3627.0;0.7936390532544378;13949.0
13_levy_on_flood_pois;13;True;pois;3;Floresta;restaurant;70384.0;54802.0;15582.0;0.7786144578313253;54802.0
13_levy_on_flood_pois;13;True;pois;3;Independência;marketplace;55080.0;55080.0;0.0;1.0;55080.0
13_levy_on_flood_pois;13;True;pois;3;Independência;pharmacy;13752.0;13752.0;0.0;1.0;13752.0
13_levy_on_flood_pois;13;True;pois;3;Independência;restaurant;55080.0;55080.0;0.0;1.0;55080.0
13_levy_on_flood_pois;13;True;pois;3;Moinhos de Vento;marketplace;79960.0;79960.0;0.0;1.0;79960.0
13_levy_on_flood_pois;13;True;pois;3;Moinhos de Vento;pharmacy;20000.0;20000.0;0.0;1.0;20000.0
13_levy_on_flood_pois;13;True;pois;3;Moinhos de Vento;restaurant;79960.0;79960.0;0.0;1.0;79960.0
13_levy_on_flood_pois;13;True;pois;3;Praia de Belas;marketplace;12176.0;5069.0;7107.0;0.4163107752956636;5069.0
13_levy_on_flood_pois;13;True;pois;3;Praia de Belas;pharmacy;3048.0;1278.0;1770.0;0.41929133858267714;1278.0
13_levy_on_flood_pois;13;True;pois;3;Praia de Belas;restaurant;12176.0;4738.0;7438.0;0.38912614980289095;4738.0
13_levy_on_flood_pois;13;True;pois;3;Rio Branco;marketplace;125680.0;125680.0;0.0;1.0;125680.0
13_levy_on_flood_pois;13;True;pois;3;Rio Branco;pharmacy;31408.0;31408.0;0.0;1.0;31408.0
13_levy_on_flood_pois;13;True;pois;3;Rio Branco;restaurant;125680.0;125680.0;0.0;1.0;125680.0
13_levy_on_flood_pois;13;True;pois;3;Santa Cecília;marketplace;37120.0;37120.0;0.0;1.0;37120.0
13_levy_on_flood_pois;13;True;pois;3;Santa Cecília;pharmacy;9288.0;9288.0;0.0;1.0;9288.0
13_levy_on_flood_pois;13;True;pois;3;Santa Cecília;restaurant;37120.0;37120.0;0.0;1.0;37120.0
13_levy_on_flood_pois;13;True;pois;3;Santana;marketplace;142352.0;142352.0;0.0;1.0;142352.0
13_levy_on_flood_pois;13;True;pois;3;Santana;pharmacy;35576.0;35576.0;0.0;1.0;35576.0
13_levy_on_flood_pois;13;True;pois;3;Santana;restaurant;142352.0;142352.0;0.0;1.0;142352.0
13_levy_on_flood_pois;13;True;pois;4;Azenha;marketplace;96512.0;93273.0;3239.0;0.9664394064986738;93273.0
13_levy_on_flood_pois;13;True;pois;4;Azenha;pharmacy;24144.0;23834.0;310.0;0.9871603711066932;23834.0
13_levy_on_flood_pois;13;True;pois;4;Azenha;restaurant;96512.0;93839.0;2673.0;0.9723039622015915;93839.0
13_levy_on_flood_pois;13;True;pois;4;Bom Fim;marketplace;81280.0;81280.0;0.0;1.0;81280.0
13_levy_on_flood_pois;13;True;pois;4;Bom Fim;pharmacy;20320.0;20320.0;0.0;1.0;20320.0
13_levy_on_flood_pois;13;True;pois;4;Bom Fim;restaurant;81280.0;81280.0;0.0;1.0;81280.0
13_levy_on_flood_pois;13;True;pois;4;Centro Histórico;marketplace;244552.0;240681.0;3871.0;0.9841710556446073;240681.0
13_levy_on_flood_pois;13;True;pois;4;Centro Histórico;pharmacy;61128.0;60230.0;898.0;0.9853095144614579;60230.0
13_levy_on_flood_pois;13;True;pois;4;Centro Histórico;restaurant;244552.0;240520.0;4032.0;0.983512708953515;240520.0
13_levy_on_flood_pois;13;True;pois;4;Cidade Baixa;marketplace;104112.0;93991.0;10121.0;0.9027873828185031;93991.0
13_levy_on_flood_pois;13;True;pois;4;Cidade Baixa;pharmacy;26024.0;22988.0;3036.0;0.8833384568090993;22988.0
13_levy_on_flood_pois;13;True;pois;4;Cidade Baixa;restaurant;104112.0;95715.0;8397.0;0.9193464730290456;95715.0
13_levy_on_flood_pois;13;True;pois;4;Farroupilha;marketplace;6192.0;6192.0;0.0;1.0;6192.0
13_levy_on_flood_pois;13;True;pois;4;Farroupilha;pharmacy;1552.0;1552.0;0.0;1.0;1552.0
13_levy_on_flood_pois;13;True;pois;4;Farroupilha;restaurant;6192.0;6192.0;0.0;1.0;6192.0
13_levy_on_flood_pois;13;True;pois;4;Floresta;marketplace;70384.0;59040.0;11344.0;0.8388270061377586;59040.0
13_levy_on_flood_pois;13;True;pois;4;Floresta;pharmacy;17576.0;13949.0;3627.0;0.7936390532544378;13949.0
13_levy_on_flood_pois;13;True;pois;4;Floresta;restaurant;70384.0;54802.0;15582.0;0.7786144578313253;54802.0
13_levy_on_flood_pois;13;True;pois;4;Independência;marketplace;55080.0;55080.0;0.0;1.0;55080.0
13_levy_on_flood_pois;13;True;pois;4;Independência;pharmacy;13752.0;13752.0;0.0;1.0;13752.0
13_levy_on_flood_pois;13;True;pois;4;Independência;restaurant;55080.0;55080.0;0.0;1.0;55080.0
13_levy_on_flood_pois;13;True;pois;4;Moinhos de Vento;marketplace;79960.0;79960.0;0.0;1.0;79960.0
13_levy_on_flood_pois;13;True;pois;4;Moinhos de Vento;pharmacy;20000.0;20000.0;0.0;1.0;20000.0
13_levy_on_flood_pois;13;True;pois;4;Moinhos de Vento;restaurant;79960.0;79960.0;0.0;1.0;79960.0
13_levy_on_flood_pois;13;True;pois;4;Praia de Belas;marketplace;12176.0;5069.0;7107.0;0.4163107752956636;5069.0
13_levy_on_flood_pois;13;True;pois;4;Praia de Belas;pharmacy;3048.0;1278.0;1770.0;0.41929133858267714;1278.0
13_levy_on_flood_pois;13;True;pois;4;Praia de Belas;restaurant;12176.0;4738.0;7438.0;0.38912614980289095;4738.0
13_levy_on_flood_pois;13;True;pois;4;Rio Branco;marketplace;125680.0;125680.0;0.0;1.0;125680.0
13_levy_on_flood_pois;13;True;pois;4;Rio Branco;pharmacy;31408.0;31408.0;0.0;1.0;31408.0
13_levy_on_flood_pois;13;True;pois;4;Rio Branco;restaurant;125680.0;125680.0;0.0;1.0;125680.0
13_levy_on_flood_pois;13;True;pois;4;Santa Cecília;marketplace;37120.0;37120.0;0.0;1.0;37120.0
13_levy_on_flood_pois;13;True;pois;4;Santa Cecília;pharmacy;9288.0;9288.0;0.0;1.0;9288.0
13_levy_on_flood_pois;13;True;pois;4;Santa Cecília;restaurant;37120.0;37120.0;0.0;1.0;37120.0
13_levy_on_flood_pois;13;True;pois;4;Santana;marketplace;142352.0;142352.0;0.0;1.0;142352.0
13_levy_on_flood_pois;13;True;pois;4;Santana;pharmacy;35576.0;35576.0;0.0;1.0;35576.0
13_levy_on_flood_pois;13;True;pois;4;Santana;restaurant;142352.0;142352.0;0.0;1.0;142352.0
13_levy_on_flood_pois;13;True;pois;5;Azenha;marketplace;96512.0;93273.0;3239.0;0.9664394064986738;93273.0
13_levy_on_flood_pois;13;True;pois;5;Azenha;pharmacy;24144.0;23834.0;310.0;0.9871603711066932;23834.0
13_levy_on_flood_pois;13;True;pois;5;Azenha;restaurant;96512.0;93839.0;2673.0;0.9723039622015915;93839.0
13_levy_on_flood_pois;13;True;pois;5;Bom Fim;marketplace;81280.0;81280.0;0.0;1.0;81280.0
13_levy_on_flood_pois;13;True;pois;5;Bom Fim;pharmacy;20320.0;20320.0;0.0;1.0;20320.0
13_levy_on_flood_pois;13;True;pois;5;Bom Fim;restaurant;81280.0;81280.0;0.0;1.0;81280.0
13_levy_on_flood_pois;13;True;pois;5;Centro Histórico;marketplace;244552.0;240681.0;3871.0;0.9841710556446073;240681.0
